Mark,Module,Type,Route,Test
,Login,UI,/Login,
,"  Logout",,,
,"  Register",,,
,"  forget password",,,
,Main,,,
,"  Dashboard",,,
,"  Profile",,,
,Business Process,,,
,"  Users",,,
,"  Assignments",,,
,"  Companies",,,
,"  Division",,,
,"  Organization Structure",,,
,Syncing/Import Data,,,
,Loging,,,
,Configuration,,,
,"  Data Masking",,,
,"  OAUTH Clients",,,
,"  SCIM Clients",,,
,API,,,
,"  identities",,,
,"  oauth-clients",,,
,"  org-structure-versions",,,
,"  org-units",,,
,"  positions",,,
,"  realms"
,"  scim-clients"
,"  settings"
,OAuth,,,
,"  authorize",,,
,"  token",,,
,"  userinfo",,,
,scim/v2,,,
,"  Bulk",,,
,"  Groups",,,
,"  ResourceType",,,
,"  Schemas",,,
,"  ServiceProviderConfig",,,
,"  token",,,
,"  Users",,,
,  webhooks,,,
,Documentation